hostname,ip_address,device_type,vendor,model,serial_number,location,rack,unit,status,last_seen,uptime_days,cpu_usage_percent,memory_usage_percent,temperature_celsius,power_consumption_watts,firmware_version,warranty_expires,purchase_date,cost_usd
ups-hq-01.fscj.edu,10.1.3.10,ups,APC,Smart-UPS2200,AS1234567890,Headquarters,R05,1,online,2024-10-12 10:25:45,156,5,12,28,45,aos_632.3.I,2025-04-15,2022-04-15,650.00
ups-hq-02.fscj.edu,10.1.3.11,ups,APC,Smart-UPS2200,AS1234567891,Headquarters,R05,2,online,2024-10-12 10:25:30,156,7,15,29,52,aos_632.3.I,2025-04-15,2022-04-15,650.00
srv-hq-01.fscj.edu,10.1.4.10,server,Dell,PowerEdge_R740,SVC123456,Headquarters,R06,1,online,2024-10-12 10:24:20,102,35,62,55,280,2.8.0,2026-11-20,2023-11-20,8500.00
srv-hq-02.fscj.edu,10.1.4.11,server,HPE,ProLiant_DL380,CZ123456AB,Headquarters,R06,2,online,2024-10-12 10:24:05,95,42,58,52,295,U32_1.46,2026-08-10,2023-08-10,7800.00
srv-hq-03.fscj.edu,10.1.4.12,server,Dell,PowerEdge_R640,SVC123457,Headquarters,R07,1,maintenance,2024-10-12 02:30:15,78,0,0,25,0,2.8.0,2026-05-25,2023-05-25,6200.00
rtr-orl-01.fscj.edu,10.2.1.1,router,Cisco,ISR4321,FTX1842B2A1,Orlando_Branch,R01,1,online,2024-10-12 10:23:45,72,18,41,44,95,16.09.05,2025-06-30,2022-06-30,2100.00
sw-orl-01.fscj.edu,10.2.1.10,switch,Cisco,Catalyst2960L,FOC2045Y6T8,Orlando_Branch,R01,2,online,2024-10-12 10:23:30,85,9,19,36,35,15.2.7E1,2025-03-22,2022-03-22,480.00
sw-orl-02.fscj.edu,10.2.1.11,switch,Cisco,Catalyst2960L,FOC2045Y6T9,Orlando_Branch,R02,1,online,2024-10-12 10:23:15,85,12,22,37,38,15.2.7E1,2025-03-22,2022-03-22,480.00
fw-orl-01.fscj.edu,10.2.1.100,firewall,SonicWall,TZ470,17C0123456,Orlando_Branch,R02,2,online,2024-10-12 10:22:50,128,28,52,46,65,7.0.1-5035,2025-01-15,2022-01-15,350.00
ap-orl-01.fscj.edu,10.2.2.10,access_point,Ubiquiti,UniFi_AC_Lite,44D9E7234567,Orlando_Branch,Ceiling,B1,online,2024-10-12 10:22:35,142,15,26,39,8,5.43.35,2024-11-08,2021-11-08,89.00
ap-orl-02.fscj.edu,10.2.2.11,access_point,Ubiquiti,UniFi_AC_Lite,44D9E7234568,Orlando_Branch,Ceiling,B2,online,2024-10-12 10:22:20,142,19,24,40,9,5.43.35,2024-11-08,2021-11-08,89.00
rtr-tam-01.fscj.edu,10.3.1.1,router,Cisco,ISR4321,FTX1842B3C2,Tampa_Branch,R01,1,offline,2024-10-11 16:45:30,183,0,0,25,0,16.09.05,2025-02-14,2022-02-14,2100.00
sw-tam-01.fscj.edu,10.3.1.10,switch,Netgear,GS724T,2G123456789,Tampa_Branch,R01,2,online,2024-10-12 10:21:45,92,14,28,41,28,7.0.1.76,2024-08-18,2021-08-18,220.00
fw-tam-01.fscj.edu,10.3.1.100,firewall,pfSense,SG-1100,PF112345678,Tampa_Branch,R02,1,online,2024-10-12 10:21:30,156,22,35,43,18,2.6.0,N/A,2021-05-10,179.00
wlc-hq-01.fscj.edu,10.1.5.10,controller,Cisco,WLC3504,FCW2142L5MM,Headquarters,R08,1,online,2024-10-12 10:20:15,234,31,48,49,165,8.10.151.0,2025-07-30,2022-07-30,3200.00
phone-sys-01.fscj.edu,10.1.6.10,voip_system,Cisco,CUCM_VM,VMware_Instance,Headquarters,VM,1,online,2024-10-12 10:19:50,67,45,72,N/A,N/A,14.0.1.12000-6,2025-12-15,2022-12-15,15000.00
backup-01.fscj.edu,10.1.7.10,backup_appliance,Veeam,B&R_Server,VBR987654,Headquarters,R09,1,online,2024-10-12 10:19:35,145,25,38,47,220,11.0.1.1261,2026-01-20,2023-01-20,4500.00
monitor-01.fscj.edu,10.1.8.10,monitoring,PRTG,Network_Monitor,PRTG123789,Headquarters,VM,2,online,2024-10-12 10:19:20,298,18,45,N/A,N/A,22.3.77.1636,2025-05-12,2022-05-12,2800.00
printer-01.fscj.edu,10.1.9.10,printer,HP,LaserJet_Pro_M404dn,PHCVN191234,Headquarters,Floor,IT,online,2024-10-12 10:18:45,425,5,8,35,15,002.2147.A,2025-09-05,2022-09-05,299.00
printer-02.fscj.edu,10.1.9.11,printer,Canon,imageRunner_2530i,AKZ123456789,Headquarters,Floor,Admin,maintenance,2024-10-12 09:12:30,567,0,0,25,0,03.07.00,2024-06-18,2021-06-18,1200.00
